Tottenham, 12:55, O 2.5, 10/11
FC Voluntari, , , 4/6
Draw, , , 11/10
CSKA Moscow, , , 10/11
Spartak Moscow, , , 8/1
Draw, , , 11/10
FK Energomash Belgorod, , , 4/5
Avangard Kursk, , , 6/1
Draw, , , 6/4
FK Ryazan, , , 1/2
Vityaz Podolsk, , , 6/4
Draw, , , 15/8
FK Volga Ulyanovsk, , , 15/4
FK Chelyabinsk, , , 10/11
Draw, , , 6/4
Kamaz Nab Chelny, , , 3/1
Nosta Novotroitsk, , , 6/5
Draw, , , 8/13
Strogino, , , 6/5
Domodedovo, , , 4/6
Draw, , , 5/1
Partizan Belgrade, , , 11/5
FK Napredak, , , 8/15
Draw, , , 13/5
SKF Sered, , , 9/2
VSS Kosice, , , 4/6
Draw, , , 11/10
NK Celje, , , 11/10
FC Koper, , , 10/3
Draw, , , 8/5
Triea Albiga, , , 5/6
Al Hilal Obied, , , 11/5
Draw, , , 11/4
Syrianska FC, , , 1/1
Varbergs BoIS FC, , , 8/11
Draw, , , 1/3
FC Rosengard, , , 15/2
IK Oddevold, , , 10/3
Draw, , , 5/4
Ljungskile, , , 8/5
FK Karlskrona, , , 5/2
Draw, , , 6/5
Mjallby AIF, , , 8/13
Skövde AIK, , , 17/2
Draw, , , 1/3
IK Sleipner, , , 10/3
Boo FK, , , 13/8
Draw, , , 13/10
Linköpings FC Women, , , 12/5
Djurgardens Women, , , 5/4
Draw, , , 4/7
Grasshoppers, , , 12/5
Lugano, , , 5/4
Draw, , , 2/1
Club Africain, , , 8/15
ES Tunis, , , 7/2
Draw, , , 10/3
Etoile Sportive Sahel, , , 10/11
CS Sfaxien, , , 4/5
Draw, , , 4/11
Gaziantep BLD, , , 9/1
Manisaspor, , , 10/3
Draw, , , 6/5
Al Jazira SC Reserves, , , 7/5
Hatta Dubai Reserves, , , 3/1
Draw, , , 1/1
Al Wahda Abu Dhabi Reserves, , , 8/11
Al Ain SCC Reserves, , , 1/3
Draw, , , 10/1
Sharjah SCC Reserves, , , 15/4
Al Ahli Dubai Reserves, , , 1/4
Draw, , , 4/1
Shakhtar Donetsk, , , 8/1
PFC Oleksandria, , , 10/11
Draw, , , 4/5
Atlético Venezuela, , , 11/4
Aragua, , , 12/1
Draw, , , 1/3
Hamilton Women, , , 9/4
Aberdeen Women, , , 1/3
Draw, , , 40/1
, , , 1/7
, , , 9/2
, , , 4/1
, , , 7/1
, , , 1/4
, , , 11/4
, , , 1/4
, , , 400/1
, , , 1/500
, , , 50/1
, , , 7/1
, , , 9/2
, , , 2/7
, , , 5/2
, , , 2/7
, , , 1/20
, , , 500/1
, , , 10/1
, , , 12/1
, , , 17/2
, , , 1/10
, , , 6/1
, , , 1/10
, , , 17/2
, , , 11/4
, , , 4/11
, , , 2/1
, , , 4/11
, , , 7/1
, , , 9/4
, , , 4/7
, , , 11/2
, , , 2/1
, , , 8/13
, , , 6/5
, , , 8/13
, , , 50/1
, , , 1/20
, , , 10/1
, , , 15/2
, , , 13/8
, , , 8/13
, , , 6/5
, , , 8/13
, , , 2/11
, , , 18/1
, , , 15/4
, , , 13/5
, , , 11/4
, , , 8/11
, , , 1/1
, , , 8/11
, , , 1/3
, , , 7/1
, , , 10/3
, , , 6/5
, , , 6/4
, , , 11/4
, , , 11/10
, , , 4/6
, , , 15/8
, , , 2/1
, , , 7/5
, , , 13/10
, , , 6/4
, , , 5/2
, , , 6/5
, , , 8/13
, , , 2/1
, , , 7/4
, , , 8/5
, , , 7/5
, , , 5/4
, , , 3/1
, , , 1/1
, , , 8/11
, , , 15/2
, , , 3/10
, , , 7/2
, , , 13/8
, , , 6/5
, , , 5/2
, , , 6/5
, , , 8/13
, , , 13/8
, , , 21/10
, , , 8/5
, , , 6/5
, , , 6/4
, , , 3/1
, , , 1/1
, , , 8/11
, , , 5/4
, , , 3/1
, , , 6/4
, , , 20/21
, , , 21/10
, , , 5/2
, , , 6/5
, , , 8/13
, , , 28/1
, , , 1/7
, , , 9/2
, , , 7/2
, , , 5/2
, , , 4/6
, , , 11/10
, , , 4/6
, , , 8/5
, , , 2/1
, , , 13/8
, , , 21/20
, , , 6/4
, , , 7/2
, , , 8/11
, , , 1/1
, , , 1/6
, , , 12/1
, , , 11/2
, , , 8/13
, , , 11/5
, , , 4/1
, , , 8/11
, , , 1/1
, , , 1/4
, , , 9/1
, , , 4/1
, , , 5/6
, , , 7/4
, , , 4/1
, , , 8/11
, , , 1/1
, , , 14/1
, , , 1/6
, , , 5/1
, , , 13/5
, , , 1/1
, , , 7/4
, , , 13/8
, , , 4/9
, , , 100/1
, , , 1/28
, , , 12/1
, , , 17/2
, , , 17/2
, , , 1/12
, , , 6/1
, , , 1/12
, , , 4/11
, , , 15/2
, , , 10/3
, , , 3/10
, , , 15/4
, , , 13/2
, , , 6/5
, , , 8/13
, , , 1/6
, , , 28/1
, , , 15/4
, , , 6/1
, , , 3/1
, , , 2/5
, , , 7/4
, , , 2/5
, , , 1/25
, , , 50/1
, , , 12/1
, , , 11/8
, , , 8/1
, , , 8/11
, , , 1/1
, , , 8/11
, , , 1/33
, , , 66/1
, , , 14/1
, , , 12/5
, , , 10/1
, , , 4/11
, , , 2/1
, , , 4/11
, , , 7/2
, , , 16/1
, , , 1/5
, , , 10/3
, , , 1/5
, , , 9/2
, , , 12/1
, , , 1/6
, , , 7/2
, , , 1/6
, , , 15/8
, , , 11/1
, , , 4/9
, , , 13/8
, , , 4/9
, , , 1/12
, , , 50/1
, , , 7/1
, , , 13/2
, , , 6/1
, , , 1/5
, , , 10/3
, , , 1/5
, , , 15/4
, , , 14/1
, , , 1/5
, , , 10/3
, , , 1/5
, , , 8/1
, , , 4/9
, , , 13/5
, , , 13/10
, , , 15/8
, , , 2/1
, , , 13/8
, , , 4/9
, , , 13/8
, , , 3/1
, , , 13/10
, , , 6/5
, , , 15/8
, , , 2/1
, , , 6/4
, , , 1/2
, , , 18/1
, , , 1/16
, , , 9/1
, , , 7/5
, , , 8/5
, , , 2/1
, , , 11/8
, , , 8/15
, , , 1/16
, , , 28/1
, , , 9/1
, , , 8/11
, , , 6/1
, , , 6/4
, , , 1/2
, , , 6/4
, , , 5/6
, , , 13/2
, , , 11/8
, , , 8/11
, , , 9/2
, , , 7/4
, , , 13/8
, , , 4/9
, , , 7/2
, , , 4/5
, , , 5/2
, , , 7/4
, , , 8/15
, , , 8/1
, , , 1/1
, , , 8/11
, , , 6/4
, , , 17/10
, , , 12/5
, , , 5/6
, , , 21/20
, , , 10/1
, , , 5/6
, , , 5/6
, , , 17/2
, , , 17/2
, , , 1/10
, , , 1/25
, , , 80/1
, , , 12/1
, , , 6/1
, , , 17/2
, , , 1/7
, , , 4/1
, , , 1/7
, , , 50/1
, , , 1/500
, , , 50/1
, , , 11/4
, , , 3/1
, , , 4/6
, , , 11/10
, , , 4/6
, , , 13/2
, , , 4/1
, , , 4/11
, , , 11/2
, , , 10/3
, , , 4/11
, , , 2/1
, , , 4/11
, , , 4/6
, , , 11/2
, , , 12/5
, , , 12/5
, , , 10/11
, , , 12/5
, , , 11/8
, , , 8/15
, , , 
, , , 
, , , 
, , , 
, , , 
, , , 
, , , 
, , , 
, , , 11/2
, , , 4/7
, , , 13/5
, , , 1/1
, , , 6/4
, , , 7/2
, , , 5/6
, , , 5/6
, , , 7/4
, , , 11/5
, , , 8/5
, , , 6/5
, , , 6/4
, , , 3/1
, , , 1/1
, , , 8/11
, , , 2/7
, , , 11/1
, , , 15/4
, , , 21/20
, , , 7/4
, , , 11/4
, , , 11/10
, , , 4/6
, , , 1/8
, , , 25/1
, , , 6/1
, , , 8/11
, , , 3/1
, , , 5/2
, , , 6/5
, , , 8/13
, , , 1/14
, , , 125/1
, , , 8/1
, , , 12/5
, , , 13/2
, , , 1/2
, , , 6/4
, , , 1/2
, , , 15/4
, , , 11/10
, , , 6/4
, , , 9/4
, , , 5/6
, , , 5/2
, , , 6/5
, , , 8/13
, , , 8/5
, , , 3/1
, , , 11/8
, , , 6/5
, , , 15/8
, , , 9/4
, , , 11/8
, , , 8/15
, , , 1/50
, , , 80/1
, , , 18/1
, , , 4/6
, , , 13/5
, , , 10/3
, , , 10/11
, , , 4/5
, , , 2/9
, , , 10/1
, , , 4/1
, , , 10/11
, , , 2/1
, , , 3/1
, , , 1/1
, , , 8/11
, , , 8/15
, , , 5/1
, , , 11/4
, , , 7/4
, , , 21/20
, , , 11/4
, , , 1/1
, , , 8/11
, , , 1/80
, , , 28/1
, , , 22/1
, , , 8/13
, , , 15/8
, , , 11/2
, , , 5/4
, , , 4/7
, , , 3/10
, , , 15/2
, , , 7/2
, , , 11/10
, , , 13/8
, , , 3/1
, , , 1/1
, , , 8/11
, , , 7/4
, , , 7/4
, , , 7/4
, , , 5/4
, , , 5/4
, , , 10/3
, , , 5/6
, , , 5/6
, , , 1/4
, , , 9/1
, , , 4/1
, , , 1/4
, , , 4/1
, , , 7/1
, , , 5/6
, , , 5/6
, , , 6/4
, , , 9/4
, , , 6/4
, , , 11/10
, , , 13/8
, , , 11/4
, , , 1/1
, , , 8/11
, , , 13/8
, , , 7/4
, , , 15/8
, , , 11/10
, , , 6/5
, , , 4/1
, , , 4/6
, , , 11/10
, , , 33/1
, , , 1/20
, , , 11/1
, , , 6/4
, , , 5/4
, , , 5/2
, , , 6/5
, , , 8/13
, , , 10/1
, , , 4/9
, , , 13/5
, , , 7/5
, , , 10/3
, , , 6/5
, , , 8/13
, , , 6/5
, , , 7/1
, , , 10/1
, , , 1/9
, , , 5/1
, , , 1/9
, , , 1/200
, , , 50/1
, , , 33/1
, , , 7/1
, , , 9/2
, , , 2/7
, , , 5/2
, , , 2/7
, , , 9/2
, , , 9/2
, , , 2/5
, , , 15/4
, , , 4/1
, , , 4/9
, , , 13/8
, , , 4/9
, , , 15/2
, , , 12/1
, , , 1/10
, , , 11/2
, , , 1/10
, , , 
, , , 
, , , 
, , , 
, , , 
, , , 
, , , 
, , , 
, , , 7/4
, , , 9/1
, , , 8/15
, , , 11/8
, , , 8/15
, , , 21/10
, , , 11/5
, , , 6/5
, , , 13/8
, , , 13/8
, , , 7/4
, , , 2/5
, , , 7/4
, , , 21/20
, , , 4/1
, , , 8/5
, , , 5/6
, , , 5/2
, , , 5/2
, , , 6/5
, , , 8/13
, , , 1/25
, , , 80/1
, , , 12/1
, , , 6/1
, , , 8/1
, , , 1/6
, , , 7/2
, , , 1/6
, , , 8/5
, , , 5/2
, , , 8/5
, , , 11/10
, , , 8/5
, , , 3/1
, , , 1/1
, , , 8/11
, , , 6/1
, , , 4/1
, , , 3/10
, , , 12/5
, , , 3/10
, , , 1/16
, , , 50/1
, , , 9/1
, , , 4/1
, , , 7/1
, , , 1/4
, , , 11/4
, , , 1/4
, , , 5/1
, , , 9/1
, , , 1/5
, , , 10/3
, , , 1/5
, , , 15/4
, , , 15/2
, , , 1/3
, , , 10/3
, , , 13/2
, , , 1/3
, , , 9/4
, , , 1/3
, , , 1/25
, , , 66/1
, , , 12/1
, , , 3/1
, , , 9/1
, , , 3/10
, , , 12/5
, , , 3/10
, , , 66/1
, , , 1/7
, , , 9/2
, , , 15/4
, , , 9/2
, , , 2/5
, , , 7/4
, , , 2/5
, , , 18/1
, , , 1/16
, , , 9/1
, , , 7/5
, , , 7/4
, , , 2/1
, , , 6/4
, , , 1/2
, , , 1/11
, , , 20/1
, , , 13/2
, , , 8/11
, , , 15/4
, , , 2/1
, , , 6/4
, , , 1/2
, , , 11/10
, , , 9/4
, , , 12/5
, , , 8/11
, , , 13/10
, , , 8/1
, , , 1/1
, , , 8/11
, , , 13/2
, , , 1/2
, , , 5/2
, , , 5/4
, , , 3/1
, , , 11/8
, , , 8/15
, , , 11/8
, , , 1/12
, , , 25/1
, , , 7/1
, , , 21/20
, , , 9/2
, , , 5/4
, , , 4/7
, , , 5/4
, , , 1/6
, , , 22/1
, , , 4/1
, , , 3/1
, , , 3/1
, , , 8/13
, , , 6/5
, , , 8/13
, , , 1/125
, , , 150/1
, , , 25/1
, , , 3/1
, , , 25/1
, , , 2/9
, , , 3/1
, , , 2/9
, , , 1/3
, , , 7/1
, , , 10/3
, , , 11/10
, , , 6/4
, , , 10/3
, , , 5/6
, , , 5/6
, , , 1/3
, , , 6/1
, , , 15/4
, , , 10/11
, , , 11/8
, , , 5/1
, , , 8/15
, , , 11/8
